0.0000,0.8395,0.6676,0.9368
0.8000,0.9218,1.5784,0.9288
0.4000,0.8662,0.7541,0.9543
0.2000,1.2417,1.6173,0.7723
0.6000,0.7470,0.8098,0.3071
0.6000,1.1361,1.7465,0.9713
0.2000,1.1181,0.6516,0.4565
0.2000,1.4083,1.5827,0.0916
0.0000,1.0326,0.6466,0.7051
0.2000,1.5269,1.8486,0.0259
0.0000,1.1597,0.7117,0.3604
0.6000,0.7761,1.7100,0.0803
0.4000,0.6191,0.6643,0.7107
0.0000,0.7553,1.7237,0.6014
0.8000,0.7479,0.7971,0.4639
0.4000,0.9823,1.7265,0.4705
0.6000,1.0952,0.8120,0.4944
0.4000,0.9066,1.7530,0.2586
0.6000,1.0181,0.5714,0.2543
0.8000,0.8876,2.0025,0.7792
0.4000,1.3068,0.8897,0.7942
0.2000,0.4037,1.8206,0.7473
0.2000,0.7756,0.7136,0.8588
0.4000,0.7777,1.7736,0.1091
0.8000,0.4401,0.7918,0.4846
0.2000,0.8435,1.7933,0.7673
0.2000,1.3006,0.7576,0.8649
0.4000,0.6207,1.8155,0.2334
0.0000,0.7508,0.6793,0.7884
0.0000,1.2017,1.8570,0.5535
0.6000,0.8732,0.5398,0.4936
0.0000,0.4585,1.6787,0.4925
0.4000,1.5627,0.7534,0.9129
0.0000,0.6837,1.8735,0.6269
0.4000,1.5242,0.4954,0.5015
0.8000,0.8050,1.5679,0.4183
0.8000,1.1214,0.7329,0.4348
0.4000,1.1080,1.7023,0.0736
0.2000,1.0439,0.9301,0.2697
0.8000,1.1499,1.8496,0.5862
0.8000,0.8853,0.7927,0.8299
0.0000,1.0703,1.7809,0.0073
0.4000,1.3846,0.8081,0.9689
0.8000,1.2041,1.8837,0.8040
0.2000,0.5801,0.5853,0.8631
0.6000,0.8560,1.6921,0.5295
0.0000,0.5085,0.7441,0.9404
0.8000,0.8504,1.8599,0.4892
0.6000,1.1600,0.7034,0.5599
0.0000,1.3956,1.5531,0.1587
